[14/10/2013 23:24] /reload creaturescripts
[14/10/2013 23:24] /m hydra
[14/10/2013 23:24] /goto ushuriel
[14/10/2013 23:26] /reload creaturescripts
[14/10/2013 23:26] /reload creaturescripts
[14/10/2013 23:28] /r
[14/10/2013 23:29] /reload creaturescripts
[14/10/2013 23:29] /r
[14/10/2013 23:29] /m ushuriel
[14/10/2013 23:30] /a 15
[14/10/2013 23:30] /a 15
[14/10/2013 23:30] /a 15
[14/10/2013 23:30] /a 5
[14/10/2013 23:34] /reload creaturescripts
[14/10/2013 23:34] /m Latrivan
[14/10/2013 23:34] /m Golgordan
[14/10/2013 23:35] /a 50
[14/10/2013 23:35] /a 50
[14/10/2013 23:35] /a 50
[14/10/2013 23:35] /a 20
[14/10/2013 23:47] /a 20
[14/10/2013 23:47] /a 20
[14/10/2013 23:47] /a 20
[14/10/2013 23:47] /a 20
[14/10/2013 23:47] /a 20
[14/10/2013 23:47] /a 5
[14/10/2013 23:47] /a 25
[14/10/2013 23:47] /a 25
[14/10/2013 23:47] /a 25
[14/10/2013 23:47] /a 25
[14/10/2013 23:47] /a 25
[14/10/2013 23:48] /a 10
[14/10/2013 23:48] /a 10
[14/10/2013 23:48] /a 25
[14/10/2013 23:48] /a 25
[14/10/2013 23:48] /a 25
[14/10/2013 23:48] /a 25
[14/10/2013 23:49] /a 25
[14/10/2013 23:49] /a 25
[14/10/2013 23:49] /a 10
[14/10/2013 23:50] /reload monsters
[14/10/2013 23:50] /reload monsters
[14/10/2013 23:50] /reload monsters
[14/10/2013 23:50] /m versperoth
[14/10/2013 23:52] /reload actions
[14/10/2013 23:52] /m scorpion sceptre
[14/10/2013 23:53] /i 13293
[14/10/2013 23:53] /m midnight panther
[14/10/2013 23:56] /goto oldrak
[14/10/2013 23:57] /a 2
[14/10/2013 23:58] /reload actions
[14/10/2013 23:58] /a 2
[14/10/2013 23:59] /a 20
[14/10/2013 23:59] /a 20
[15/10/2013 00:02] /reload actions
[15/10/2013 00:03] /reload actions
[15/10/2013 00:05] /reload movements
[15/10/2013 00:07] /reload movements
[15/10/2013 00:11] /reload actions
[15/10/2013 00:11] /reload actions
[15/10/2013 00:13] /a 15
[15/10/2013 00:13] /a 15
[15/10/2013 00:13] /a 2
[15/10/2013 00:13] /a 2
[15/10/2013 00:13] /a 2
[15/10/2013 00:13] /r
[15/10/2013 00:15] /r
[15/10/2013 00:15] /r
[15/10/2013 00:18] /a 5
[15/10/2013 00:18] /a 5
[15/10/2013 00:18] /a 5
[15/10/2013 00:18] /a 2
[15/10/2013 00:19] /reload actions
[15/10/2013 00:20] /reload actions
[15/10/2013 00:21] /reload actions
[15/10/2013 00:21] /a 15
[15/10/2013 00:21] /a 15
[15/10/2013 00:21] /a 15
[15/10/2013 00:21] /a 15
[15/10/2013 00:22] /reload actions
[15/10/2013 00:23] /reload actions
[15/10/2013 00:23] /reload actions
[15/10/2013 00:23] /reload actions
[15/10/2013 00:24] /reload actions
[15/10/2013 00:24] /a 15
[15/10/2013 00:24] /a 15
[15/10/2013 00:24] /a 15
[15/10/2013 00:24] /a 15
[15/10/2013 00:27] /reload actions
[15/10/2013 00:27] /a 15
[15/10/2013 00:27] /a 15
[15/10/2013 00:27] /a 15
[15/10/2013 00:27] /a 15
[15/10/2013 00:28] /reload actions
[15/10/2013 00:28] /a 15
[15/10/2013 00:28] /a 15
[15/10/2013 00:28] /a 15
[15/10/2013 00:28] /a 15
[15/10/2013 00:29] /reload actions
[15/10/2013 00:29] /a 15
[15/10/2013 00:29] /a 15
[15/10/2013 00:29] /a 15
[15/10/2013 00:29] /a 15
[15/10/2013 00:31] /reload actions
[15/10/2013 00:31] /a 15
[15/10/2013 00:31] /a 15
[15/10/2013 00:31] /a 15
[15/10/2013 00:32] /reload actions
[15/10/2013 00:32] /a 15
[15/10/2013 00:32] /a 15
[15/10/2013 00:32] /a 15
[15/10/2013 00:32] /a 15
[15/10/2013 00:32] /r
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r 100
[15/10/2013 00:33] /r 100
[15/10/2013 00:33] /r 100
[15/10/2013 00:33] /r 100
[15/10/2013 00:33] /r 100
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r
[15/10/2013 00:33] /r 1
[15/10/2013 00:33] /a 2
[15/10/2013 00:33] /r
[15/10/2013 00:35] /reload movements
[15/10/2013 00:35] /a 2
[15/10/2013 00:35] /a 2
[15/10/2013 00:39] /a 5
[15/10/2013 00:39] /a 5
[15/10/2013 00:39] /a 5
[15/10/2013 00:39] /a 5
[15/10/2013 00:39] /a 5
[15/10/2013 00:39] /a 5
[15/10/2013 00:39] /a 3
[15/10/2013 00:40] /a 6
[15/10/2013 00:40] /a 15
[15/10/2013 00:40] /a 15
[15/10/2013 00:40] /a 5
[15/10/2013 00:40] /a 35
[15/10/2013 00:41] /a 3
[15/10/2013 00:41] /a 3
[15/10/2013 00:43] /a 3
[15/10/2013 00:43] /a 3
[15/10/2013 00:46] /m assassin
[15/10/2013 00:49] /goto zarak
[15/10/2013 00:49] /goto zulak
[15/10/2013 00:49] /goto zurak
[15/10/2013 00:50] /c self test
[15/10/2013 00:50] /a 5
[15/10/2013 00:50] /a 2
[15/10/2013 00:50] /c self test
[15/10/2013 00:52] /reload actions
[15/10/2013 00:52] /a 3
[15/10/2013 00:52] /c self test
[15/10/2013 00:59] /reload creaturescripts
[15/10/2013 00:59] /m tirecz
[15/10/2013 00:59] /raid draptor
[15/10/2013 01:00] /raid demodras
[15/10/2013 01:01] /reload actions
[15/10/2013 01:03] /a 2
[15/10/2013 01:03] /goto naji
[15/10/2013 01:03] /a 2
[15/10/2013 01:03] /raid demodras
[15/10/2013 01:09] /raid demodras
[15/10/2013 01:13] /reload actions
[15/10/2013 01:14] /reload actions
[15/10/2013 01:14] /reload actions
[15/10/2013 01:17] /goto grizzly adams
[15/10/2013 01:17] /m behemoth
[15/10/2013 09:20] /reload actions
[15/10/2013 09:20] /reload actions
[15/10/2013 09:21] /reload actions
[15/10/2013 09:21] /reload actions
[15/10/2013 09:22] /reload actions
[15/10/2013 09:23] /reload actions
[15/10/2013 09:23] /reload actions
[15/10/2013 09:24] /reload actions
[15/10/2013 09:25] /reload actions
[15/10/2013 09:28] /reload actions
[15/10/2013 09:30] /reload actions
[15/10/2013 09:31] /reload actions
[15/10/2013 10:00] /a 150
[15/10/2013 10:00] /a 50
[15/10/2013 10:00] /a 50
[15/10/2013 10:00] /a 5
[15/10/2013 10:00] /a 25
[15/10/2013 10:01] /a 25
[15/10/2013 10:01] /a 25
[15/10/2013 10:02] /i 5908
[15/10/2013 10:04] /reload actions
[15/10/2013 12:43] /reload actions
[15/10/2013 12:44] /reload actions
[15/10/2013 12:44] /reload actions
[15/10/2013 12:44] /reload movements
[15/10/2013 12:52] /reload movements
[15/10/2013 12:56] /reload actions
[15/10/2013 12:58] /reload creaturescripts
[15/10/2013 13:00] /goto grizzly adams
[15/10/2013 13:00] /m hydra
[15/10/2013 13:05] /reload actions
[15/10/2013 13:05] /m midnight panther
[15/10/2013 13:06] /c midnight panther
[15/10/2013 13:07] /c self test
[15/10/2013 13:08] /reload actions
[15/10/2013 13:10] /reload talkactions
[15/10/2013 13:11] /reload talkactions
[15/10/2013 13:11] /reload talkactions
[15/10/2013 13:19] /reload talkactions
[15/10/2013 13:19] /reload talkactions
[15/10/2013 13:26] /reload globalevents
[15/10/2013 13:26] /reload globalevents
[15/10/2013 13:26] /reload globalevents
[15/10/2013 13:26] /reload globalevents
[15/10/2013 13:28] /reload globalevents
[15/10/2013 13:31] /reload globalevents
[15/10/2013 13:31] /reload globalevents
[15/10/2013 13:37] /reload globalevents
[15/10/2013 13:45] /raid demodras
[15/10/2013 13:46] /reload globalevents
[15/10/2013 13:46] /reload globalevents
[15/10/2013 13:47] /reload globalevents
[15/10/2013 13:48] /reload globalevents
[15/10/2013 13:48] /reload globalevents
[15/10/2013 13:50] /reload globalevents
[15/10/2013 13:51] /reload globalevents
[15/10/2013 13:53] /reload globalevents
[15/10/2013 13:53] /reload globalevents
[15/10/2013 13:54] /reload globalevents
[15/10/2013 13:55] /raid scarab
[15/10/2013 13:55] /raid Dryads
[15/10/2013 13:56] /goto dryad
[15/10/2013 13:56] /goto Dryads
[15/10/2013 13:56] /goto Dryad
[15/10/2013 13:56] /goto pino
[15/10/2013 13:56] /a 15
[15/10/2013 13:56] /a 15
[15/10/2013 13:57] /raid elfs
[15/10/2013 13:57] /goto aldo
[15/10/2013 13:57] /a 2
[15/10/2013 13:58] /a
[15/10/2013 13:58] /a 2
[15/10/2013 13:58] /a 2
[15/10/2013 13:58] /a 2
[15/10/2013 14:04] /reload actions
[15/10/2013 14:09] /goto oldrak
[15/10/2013 14:13] /reload actions
[15/10/2013 14:13] /a 20
[15/10/2013 14:13] /a 20
[15/10/2013 14:13] /a 20
[15/10/2013 14:14] /a 20
[15/10/2013 14:15] /reload actions
[15/10/2013 14:16] /reload actions
[15/10/2013 14:16] /reload actions
[15/10/2013 14:18] /reload actions
[15/10/2013 14:20] /reload actions
[15/10/2013 14:22] /reload actions
[15/10/2013 14:22] /a 25
[15/10/2013 14:22] /a 5
[15/10/2013 14:23] /a 3
[15/10/2013 14:23] /r
[15/10/2013 14:23] /a 15
[15/10/2013 14:23] /a 2
[15/10/2013 14:23] /r
[15/10/2013 14:23] /a 15
[15/10/2013 14:23] /a 15
[15/10/2013 14:23] /a 15
[15/10/2013 14:27] /reload movements
[15/10/2013 14:27] /a 5
[15/10/2013 14:28] /reload movements
[15/10/2013 14:28] /a 1
[15/10/2013 14:29] /a 3
[15/10/2013 14:29] /a 2
[15/10/2013 14:29] /a 2
[15/10/2013 14:29] /r
[15/10/2013 14:29] /r
[15/10/2013 14:29] /a 3
[15/10/2013 14:30] /a 3
[15/10/2013 14:30] /a 5
[15/10/2013 14:30] /c self test
